currency_from,currency_to,exchange_rate
eth,btc,0.03003909
eth,ltc,41.497811
eth,xrp,1800
eth,bch,8.972979
eth,eos,30858
eth,dot,2511
eth,link,227.993
link,eth,0.0043861
link,btc,0.00013177
link,ltc,0.18201364
link,xrp,7.897102
link,bch,0.03935641
link,eos,135.346
link,dot,11.014885
ltc,eth,0.02409766
ltc,btc,0.00072397
ltc,xrp,43.38742
ltc,bch,0.21622778
ltc,eos,743.605
ltc,dot,60.517
ltc,link,5.494094
doge,eth,3.695e-05
doge,btc,1.11e-06
doge,ltc,0.0015334
doge,xrp,0.06653035
doge,bch,0.00033156
doge,eos,1.140245
doge,dot,0.09279658
doge,link,0.00842465
aave,eth,0.05238361
aave,btc,0.00157339
aave,ltc,2.173805
aave,xrp,94.316
aave,bch,0.47003706
aave,eos,1616
aave,dot,131.552
aave,link,11.943089
btc,eth,33.237094
btc,ltc,1379
btc,xrp,59843
btc,bch,298.236
btc,eos,1025629
btc,dot,83469
btc,link,7578
uni,eth,0.00203632
uni,btc,6.116e-05
uni,ltc,0.08450283
uni,xrp,3.66636
uni,bch,0.01827186
uni,eos,62.837
uni,dot,5.113842
uni,link,0.46426648
xrp,eth,0.00055541
xrp,btc,1.669e-05
xrp,ltc,0.02304816
xrp,bch,0.00498365
xrp,eos,17.138714
xrp,dot,1.394801
xrp,link,0.12662872
eos,eth,3.241e-05
eos,btc,9.75723e-07
eos,ltc,0.0013448
eos,xrp,0.05834744
eos,bch,0.00029078
eos,dot,0.08138305
eos,link,0.00738846
avax,eth,0.00343033
avax,btc,0.00010304
avax,ltc,0.14235137
avax,xrp,6.176259
avax,bch,0.03078032
avax,eos,105.853
avax,dot,8.614651
avax,link,0.78209177
bch,eth,0.1114457
bch,btc,0.00334789
bch,ltc,4.624753
bch,xrp,200.656
bch,eos,3439
bch,dot,279.875
bch,link,25.408824
ada,eth,8.357e-05
ada,btc,2.51e-06
ada,ltc,0.00346801
ada,xrp,0.15046822
ada,bch,0.00074988
ada,eos,2.578832
ada,dot,0.20987319
ada,link,0.0190536
dot,eth,0.0003982
dot,btc,1.196e-05
dot,ltc,0.01652433
dot,xrp,0.71694824
dot,bch,0.00357302
dot,eos,12.287571
dot,link,0.09078624
